date,Tmax,Tmin,Rain,SolarRad
1/1/1951,1.899999976,-4,7.599999905,1.8144
1/2/1951,2,-2.200000048,2.099999905,1.840319934
1/3/1951,0.5,-2.599999905,0,1.9872
1/4/1951,0,-5.900000095,3.700000048,4.7088
1/5/1951,4.900000095,-3.299999952,0,4.0176
1/6/1951,5.800000191,-2.400000095,0,4.000319934
1/7/1951,5.599999905,-0.899999976,6.199999809,2.471040033
1/8/1951,5.099999905,-1.899999976,0,4.112639868
1/9/1951,4.400000095,-3.599999905,3.299999952,2.782080066
1/10/1951,2.900000095,-8.699999809,0,5.296319934
1/11/1951,6.900000095,-2.5,5.900000095,2.920319934
1/12/1951,4.300000191,0.300000012,9.699999809,2.194559967
1/13/1951,3.099999905,-0.200000003,0.400000006,3.0672
1/14/1951,4.699999809,-1.799999952,0.800000012,3.827519934
1/15/1951,6.599999905,-2.299999952,20.29999924,2.004480066
1/16/1951,0.899999976,-2.900000095,15.19999981,2.229119934
1/17/1951,2.299999952,-4.699999809,8.199999809,1.589759967
1/18/1951,4.400000095,0.600000024,26.70000076,1.226879984
1/19/1951,2.599999905,0.100000001,20.70000076,2.142719934
1/20/1951,5,0.400000006,32.59999847,0.457920016
1/21/1951,4.300000191,1.899999976,17.79999924,0.803520016
1/22/1951,4.400000095,1.799999952,6.5,1.8144
1/23/1951,3.299999952,1.399999976,0.200000003,2.099519934
1/24/1951,2.5,0.200000003,0,2.557440033
1/25/1951,2.400000095,-1.600000024,0,2.738880066
1/26/1951,4.5,-0.899999976,0.100000001,2.928960132
1/27/1951,3.700000048,-2.200000048,0,3.7584
1/28/1951,0.5,-1.299999952,0,2.557440033
1/29/1951,0.300000012,-1.600000024,0.899999976,2.013119934
1/30/1951,0.100000001,-1.299999952,0.5,2.2032
1/31/1951,0.300000012,-1.200000048,1,2.358719934
2/1/1951,0.400000006,-1.200000048,0,2.782080066
2/2/1951,0.899999976,-1.100000024,0,3.084480066
2/3/1951,2,-2.900000095,0.699999988,6.246720264
2/4/1951,6,-1.799999952,0.5,7.464960132
2/5/1951,2.799999952,0,2.400000095,3.360960132
2/6/1951,3.299999952,-1,0,3.602880066
2/7/1951,5.900000095,-3,0,8.173439868
2/8/1951,6.199999809,-3.599999905,0,3.853439868
2/9/1951,9.699999809,0,0.300000012,5.253119934
2/10/1951,7.199999809,0.600000024,0.100000001,5.520960132
2/11/1951,7.699999809,-0.400000006,3,3.7584
2/12/1951,8.800000191,-0.100000001,0,7.767360132
2/13/1951,5.599999905,-1.200000048,0,3.620160132
2/14/1951,4.199999809,1.100000024,1.399999976,3.939839868
2/15/1951,4.800000191,-1.799999952,3.200000048,5.123519934
2/16/1951,6.599999905,-2.400000095,0.300000012,8.182079736
2/17/1951,8.199999809,-3.200000048,21.5,6.678720264
2/18/1951,6.199999809,-2.700000048,0,8.406720264
2/19/1951,3.299999952,-4.099999905,13.10000038,4.942080066
2/20/1951,4.800000191,-0.899999976,15.5,7.128
2/21/1951,4.099999905,-0.5,17.39999962,5.132160132
2/22/1951,2.799999952,-1.200000048,4.699999809,6.229439868
2/23/1951,2.299999952,-1.600000024,1.700000048,6.7392
2/24/1951,2.200000048,-7.199999809,2.400000095,5.304960132
2/25/1951,4.099999905,-2.799999952,0,8.562239868
2/26/1951,1.600000024,-6.699999809,12.30000019,7.162560132
2/27/1951,1.5,-6.099999905,1.100000024,7.499520264
2/28/1951,0.100000001,-8.699999809,1.600000024,5.978879736
3/1/1951,-2,-5.5,0,5.253119934
3/2/1951,-0.300000012,-7.599999905,1.100000024,5.460480066
3/3/1951,-2,-9.100000381,0.100000001,4.0176
3/4/1951,-0.5,-4.400000095,0,3.179519934
3/5/1951,5.400000095,-6.599999905,0,10.11743987
3/6/1951,5.099999905,-9.199999809,0,9.365760132
